timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1625195485290,927,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,916,0,780
1625195486222,121,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,118,0,0
1625195486346,115,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,96,0,0
1625195486195,279,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,277,0,176
1625195486462,226,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,224,0,0
1625195486476,214,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,212,0,0
1625195486690,189,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,188,0,0
1625195486692,188,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,187,0,0
1625195486881,303,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,301,0,0
1625195486882,421,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,416,0,0
1625195487188,122,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,121,0,0
1625195487304,114,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,114,0,0
1625195487311,112,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,111,0,0
1625195487419,123,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,122,0,0
1625195487191,607,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-3,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,603,0,166
1625195487424,414,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-1,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,379,0,0
1625195487544,295,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-2,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,295,0,0
1625195487800,122,Verifikasi Kasus Faskes - Draft,200,OK,Performance Test Pelaporan 1-3,text,true,,6851,723,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/cases?address_district_code=32.77&address_subdistrict_code=&address_village_code=&status=&author=&page=1&limit=30&search=&verified_status=draft,121,0,0
